"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
2000-12-31,11.9,18.3,5.7
2001-12-31,12.2,18.8,5.9
2002-12-31,11.9,18.4,5.7
2003-12-31,12.4,18.8,6.2
2004-12-31,11.7,17.4,6.1
2005-12-31,12.2,18.2,6.2
2006-12-31,11.2,16.9,5.7
2007-12-31,11.5,17,6.1
2008-12-31,11.5,17.1,6.1
2009-12-31,12,18.1,5.9
2010-12-31,12.1,17.8,6.4
2011-12-31,11.3,16.5,6.1
2012-12-31,11.8,17.5,6.2
2013-12-31,12.1,17.9,6.4
2014-12-31,12.7,18.7,6.8
2015-12-31,13,19.2,6.9
2016-12-31,11.9,17.6,6.2
2017-12-31,13,19.8,6.4
2018-12-31,12,17.9,6.2
2019-12-31,11.8,17.6,6.1
